c
c test max format
c
p wcnf 300 1325
10000.0 -6 -261 0
10000.0 -6 -262 0
10000.0 -6 -263 0
10000.0 -6 -264 0
10000.0 -6 -265 0
10000.0 -6 -276 0
10000.0 -6 -277 0
10000.0 -6 -278 0
10000.0 -6 -279 0
10000.0 -6 -280 0
10000.0 -7 -261 0
10000.0 -7 -262 0
10000.0 -7 -263 0
10000.0 -7 -264 0
10000.0 -7 -265 0
10000.0 -7 -276 0
10000.0 -7 -277 0
10000.0 -7 -278 0
10000.0 -7 -279 0
10000.0 -7 -280 0
10000.0 -8 -261 0
10000.0 -8 -262 0
10000.0 -8 -263 0
10000.0 -8 -264 0
10000.0 -8 -265 0
10000.0 -8 -276 0
10000.0 -8 -277 0
10000.0 -8 -278 0
10000.0 -8 -279 0
10000.0 -8 -280 0
10000.0 -9 -261 0
10000.0 -9 -262 0
10000.0 -9 -263 0
10000.0 -9 -264 0
10000.0 -9 -265 0
10000.0 -9 -276 0
10000.0 -9 -277 0
10000.0 -9 -278 0
10000.0 -9 -279 0
10000.0 -9 -280 0
10000.0 -10 -261 0
10000.0 -10 -262 0
10000.0 -10 -263 0
10000.0 -10 -264 0
10000.0 -10 -265 0
10000.0 -10 -276 0
10000.0 -10 -277 0
10000.0 -10 -278 0
10000.0 -10 -279 0
10000.0 -10 -280 0
10000.0 -16 -81 0
10000.0 -16 -82 0
10000.0 -16 -83 0
10000.0 -16 -84 0
10000.0 -16 -85 0
10000.0 -16 -286 0
10000.0 -16 -287 0
10000.0 -16 -288 0
10000.0 -16 -289 0
10000.0 -16 -290 0
10000.0 -17 -81 0
10000.0 -17 -82 0
10000.0 -17 -83 0
10000.0 -17 -84 0
10000.0 -17 -85 0
10000.0 -17 -286 0
10000.0 -17 -287 0
10000.0 -17 -288 0
10000.0 -17 -289 0
10000.0 -17 -290 0
10000.0 -18 -81 0
10000.0 -18 -82 0
10000.0 -18 -83 0
10000.0 -18 -84 0
10000.0 -18 -85 0
10000.0 -18 -286 0
10000.0 -18 -287 0
10000.0 -18 -288 0
10000.0 -18 -289 0
10000.0 -18 -290 0
10000.0 -19 -81 0
10000.0 -19 -82 0
10000.0 -19 -83 0
10000.0 -19 -84 0
10000.0 -19 -85 0
10000.0 -19 -286 0
10000.0 -19 -287 0
10000.0 -19 -288 0
10000.0 -19 -289 0
10000.0 -19 -290 0
10000.0 -20 -81 0
10000.0 -20 -82 0
10000.0 -20 -83 0
10000.0 -20 -84 0
10000.0 -20 -85 0
10000.0 -20 -286 0
10000.0 -20 -287 0
10000.0 -20 -288 0
10000.0 -20 -289 0
10000.0 -20 -290 0
10000.0 -21 -116 0
10000.0 -21 -117 0
10000.0 -21 -118 0
10000.0 -21 -119 0
10000.0 -21 -120 0
10000.0 -22 -116 0
10000.0 -22 -117 0
10000.0 -22 -118 0
10000.0 -22 -119 0
10000.0 -22 -120 0
10000.0 -23 -116 0
10000.0 -23 -117 0
10000.0 -23 -118 0
10000.0 -23 -119 0
10000.0 -23 -120 0
10000.0 -24 -116 0
10000.0 -24 -117 0
10000.0 -24 -118 0
10000.0 -24 -119 0
10000.0 -24 -120 0
10000.0 -25 -116 0
10000.0 -25 -117 0
10000.0 -25 -118 0
10000.0 -25 -119 0
10000.0 -25 -120 0
10000.0 -26 -146 0
10000.0 -26 -147 0
10000.0 -26 -148 0
10000.0 -26 -149 0
10000.0 -26 -150 0
10000.0 -27 -146 0
